EmployeeID,EventDate,EventType,EventDetail
EMP10010,2026-08-01,Grievance,Grievance raised with HR
EMP10010,2026-08-22,Grievance,Grievance raised with HR
EMP10011,2023-12-30,Joined,Joined as Site Engineer at Mantralaya Redevelopment via Labour Contractor
EMP10011,2024-01-29,Exit,Absconding - Site Conditions
EMP10012,2023-04-15,Joined,Joined as Deputy Manager at Delhi NCR Logistics Hub via Employee Referral
EMP10012,2023-04-22,Manager Change,Reporting manager changed
EMP10012,2023-12-23,Training,Training completed
EMP10012,2023-12-30,Training,Training completed
EMP10012,2024-04-13,Promotion,Promoted / re-graded
EMP10012,2024-05-26,Exit,Resignation - Manager Relationship
EMP10013,2024-06-22,Joined,Joined as Junior Engineer at Pune Metro Reach-3 via Employee Referral
EMP10013,2024-06-29,Resignation Submitted,"5-day notice, reason: Career Growth"
EMP10013,2024-07-04,Exit,Resignation - Career Growth
EMP10014,2021-05-13,Joined,Joined as Construction Manager at Bengaluru Tech Park via Employee Referral
EMP10014,2023-05-20,Training,Training completed
EMP10014,2023-10-07,Training,Training completed
EMP10014,2023-12-02,Manager Change,Reporting manager changed
EMP10014,2024-01-06,Training,Training completed
EMP10014,2024-05-11,Promotion,Promoted / re-graded
EMP10014,2024-08-03,Grievance,Grievance raised with HR
EMP10014,2024-08-10,Training,Training completed
EMP10014,2024-08-31,Grievance,Grievance raised with HR
EMP10014,2024-10-19,Exit,Termination - Attendance
EMP10015,2019-12-17,Joined,Joined as Senior Engineer at Pune Metro Reach-3 via Walk-in / Site Gate
EMP10015,2023-11-11,Training,Training completed
EMP10015,2024-11-09,Grievance,Grievance raised with HR
EMP10015,2025-03-22,Manager Change,Reporting manager changed
EMP10015,2025-07-12,Grievance,Grievance raised with HR
EMP10015,2025-10-11,Training,Training completed
EMP10015,2026-03-21,Training,Training completed
EMP10015,2026-07-25,Resignation Submitted,"36-day notice, reason: Personal / Family"
EMP10015,2026-08-30,Exit,Resignation - Personal / Family
EMP10016,2020-05-03,Joined,Joined as Senior Engineer at Bengaluru Tech Park via Labour Contractor
EMP10016,2023-04-22,Grievance,Grievance raised with HR
EMP10016,2023-07-15,Training,Training completed
EMP10016,2023-08-19,Manager Change,Reporting manager changed
EMP10016,2024-11-09,Grievance,Grievance raised with HR
EMP10016,2025-02-22,Manager Change,Reporting manager changed
EMP10016,2025-05-10,Training,Training completed
EMP10016,2025-06-07,Training,Training completed
EMP10016,2025-08-23,Grievance,Grievance raised with HR
EMP10016,2025-10-25,Resignation Submitted,"43-day notice, reason: Work Conditions"
EMP10016,2025-12-07,Exit,Resignation - Work Conditions
EMP10017,2023-08-26,Joined,Joined as Accounts Officer at Mumbai HO via Labour Contractor
EMP10017,2023-12-16,Manager Change,Reporting manager changed
EMP10017,2024-02-24,Resignation Submitted,"26-day notice, reason: Relocation"
EMP10017,2024-03-21,Exit,Resignation - Relocation
EMP10018,2025-03-01,Joined,Joined as Design Engineer at Mumbai HO via Employee Referral
EMP10018,2025-04-12,Training,Training completed
EMP10018,2025-09-06,Manager Change,Reporting manager changed
EMP10018,2025-12-13,Training,Training completed
EMP10018,2026-03-07,Training,Training completed
EMP10018,2026-04-04,Training,Training completed
EMP10018,2026-08-15,Manager Change,Reporting manager changed
EMP10019,2020-01-14,Joined,Joined as Site Helper at Mantralaya Redevelopment via Labour Contractor
EMP10019,2023-05-20,Manager Change,Reporting manager changed
EMP10019,2023-07-15,Resignation Submitted,"20-day notice, reason: Manager Relationship"
EMP10019,2023-08-04,Exit,Resignation - Manager Relationship
EMP10020,2024-06-01,Joined,Joined as Supervisor at JNPA WOLP via Recruitment Consultancy
EMP10020,2024-06-08,Manager Change,Reporting manager changed
EMP10020,2024-06-22,Training,Training completed
EMP10020,2024-09-28,Training,Training completed
EMP10020,2024-10-12,Training,Training completed
EMP10020,2024-11-09,Grievance,Grievance raised with HR
EMP10020,2025-03-08,Manager Change,Reporting manager changed
EMP10020,2025-06-28,Training,Training completed
EMP10020,2025-08-09,Training,Training completed
EMP10021,2023-02-17,Joined,Joined as Planning Engineer at JNPA WOLP via Campus Hiring
EMP10021,2023-07-08,Manager Change,Reporting manager changed
EMP10021,2023-09-02,Training,Training completed
EMP10021,2023-09-30,Training,Training completed
EMP10021,2023-12-30,Training,Training completed
EMP10021,2024-08-24,Manager Change,Reporting manager changed
EMP10021,2025-02-15,Promotion,Promoted / re-graded
EMP10021,2026-02-14,Promotion,Promoted / re-graded
EMP10021,2026-08-15,Training,Training completed
EMP10021,2026-08-22,Manager Change,Reporting manager changed
EMP10022,2023-09-09,Joined,Joined as Senior Engineer at JNPA WOLP via Recruitment Consultancy
EMP10022,2023-09-16,Grievance,Grievance raised with HR
EMP10022,2023-09-24,Exit,Absconding - Wage Dispute
EMP10023,2025-01-04,Joined,Joined as Junior Engineer at Bengaluru Tech Park via Campus Hiring
EMP10023,2025-01-11,Manager Change,Reporting manager changed
EMP10023,2025-07-19,Grievance,Grievance raised with HR
EMP10023,2025-09-06,Manager Change,Reporting manager changed
EMP10023,2025-09-27,Grievance,Grievance raised with HR
EMP10023,2025-10-11,Training,Training completed
EMP10023,2025-12-06,Grievance,Grievance raised with HR
EMP10023,2025-12-21,Exit,Resignation - Relocation
EMP10024,2023-12-09,Joined,Joined as Supervisor at Bengaluru Tech Park via Naukri / Job Portal
EMP10024,2023-12-23,Resignation Submitted,"9-day notice, reason: Better Offer"
EMP10024,2024-01-01,Exit,Resignation - Better Offer
EMP10025,2023-04-22,Joined,Joined as Safety Officer at Bengaluru Tech Park via Naukri / Job Portal
EMP10025,2023-05-06,Resignation Submitted,"5-day notice, reason: Relocation"
EMP10025,2023-05-11,Exit,Resignation - Relocation
EMP10026,2026-02-28,Joined,Joined as Design Engineer at Mumbai HO via Employee Referral
EMP10026,2026-07-11,Training,Training completed
EMP10027,2020-06-02,Joined,Joined as Deputy Manager at Nagpur Expressway Pkg-4 via Employee Referral
EMP10027,2023-06-03,Training,Training completed
EMP10027,2023-08-19,Training,Training completed
EMP10027,2023-12-16,Grievance,Grievance raised with HR
EMP10027,2024-02-03,Resignation Submitted,"50-day notice, reason: Career Growth"
EMP10027,2024-03-24,Exit,Resignation - Career Growth
EMP10028,2024-06-15,Joined,Joined as Supervisor at Mantralaya Redevelopment via Employee Referral
EMP10028,2025-01-25,Training,Training completed
EMP10028,2025-03-08,Training,Training completed
EMP10028,2025-05-24,Manager Change,Reporting manager changed
EMP10028,2025-09-20,Training,Training completed
EMP10028,2025-09-27,Manager Change,Reporting manager changed
EMP10028,2025-10-28,Exit,Resignation - Salary
EMP10029,2021-09-16,Joined,Joined as HR Executive at Nagpur Expressway Pkg-4 via Recruitment Consultancy
EMP10029,2023-04-22,Training,Training completed
EMP10029,2023-12-09,Training,Training completed
EMP10029,2024-02-10,Training,Training completed
EMP10029,2024-02-24,Manager Change,Reporting manager changed
EMP10029,2024-06-29,Training,Training completed
EMP10029,2024-08-03,Grievance,Grievance raised with HR
EMP10029,2024-09-14,Promotion,Promoted / re-graded
EMP10029,2024-10-05,Training,Training completed
EMP10029,2024-10-19,Manager Change,Reporting manager changed
EMP10029,2024-12-07,Grievance,Grievance raised with HR
EMP10029,2025-06-21,Training,Training completed
EMP10029,2025-08-09,Manager Change,Reporting manager changed
EMP10029,2025-10-11,Grievance,Grievance raised with HR
EMP10030,2023-04-01,Joined,Joined as Deputy Manager at Nagpur Expressway Pkg-4 via Recruitment Consultancy
EMP10030,2023-04-22,Exit,Resignation - Work Conditions
EMP10031,2023-09-16,Joined,Joined as Accounts Officer at JNPA WOLP via Labour Contractor
EMP10031,2023-11-18,Manager Change,Reporting manager changed
EMP10031,2024-03-16,Manager Change,Reporting manager changed
EMP10031,2024-08-06,Exit,Resignation - Salary
EMP10032,2024-01-20,Joined,Joined as Accounts Officer at JNPA WOLP via Labour Contractor
EMP10032,2024-05-18,Training,Training completed
EMP10032,2024-06-22,Manager Change,Reporting manager changed
EMP10032,2024-07-06,Training,Training completed
EMP10032,2024-07-27,Training,Training completed
EMP10032,2024-12-14,Manager Change,Reporting manager changed
EMP10032,2025-11-29,Training,Training completed
EMP10032,2026-07-11,Grievance,Grievance raised with HR
EMP10033,2026-04-25,Joined,Joined as Deputy Manager at Ahmedabad Water Works via Internal Transfer
EMP10034,2020-03-15,Joined,Joined as Supervisor at Pune Metro Reach-3 via Employee Referral
EMP10034,2023-04-15,Training,Training completed
EMP10034,2023-07-01,Training,Training completed
EMP10034,2023-07-29,Training,Training completed
EMP10034,2023-10-07,Grievance,Grievance raised with HR
EMP10034,2023-11-04,Training,Training completed
EMP10034,2023-12-11,Exit,Resignation - Manager Relationship
EMP10035,2024-12-28,Joined,Joined as Site Engineer at JNPA WOLP via Walk-in / Site Gate
EMP10035,2025-03-29,Training,Training completed
EMP10035,2025-05-03,Grievance,Grievance raised with HR
EMP10035,2025-05-17,Grievance,Grievance raised with HR
EMP10035,2025-06-28,Manager Change,Reporting manager changed
EMP10035,2025-07-26,Resignation Submitted,"21-day notice, reason: Better Offer"
EMP10035,2025-08-16,Exit,Resignation - Better Offer
EMP10036,2023-08-05,Joined,Joined as QA/QC Engineer at Nagpur Expressway Pkg-4 via Naukri / Job Portal
EMP10036,2023-09-09,Grievance,Grievance raised with HR
EMP10036,2023-09-23,Training,Training completed
EMP10036,2023-12-23,Grievance,Grievance raised with HR
EMP10036,2024-08-03,Manager Change,Reporting manager changed
EMP10036,2024-12-04,Exit,Termination - Attendance
EMP10037,2025-03-29,Joined,Joined as Senior Engineer at Ahmedabad Water Works via Naukri / Job Portal
EMP10037,2025-06-14,Grievance,Grievance raised with HR
EMP10037,2025-06-21,Manager Change,Reporting manager changed
EMP10037,2025-07-05,Training,Training completed
EMP10037,2025-09-13,Resignation Submitted,"55-day notice, reason: Work Conditions"
EMP10037,2025-11-07,Exit,Resignation - Work Conditions
EMP10038,2019-08-16,Joined,Joined as Senior Engineer at Delhi NCR Logistics Hub via Walk-in / Site Gate
EMP10038,2023-04-08,Manager Change,Reporting manager changed
EMP10038,2023-08-05,Training,Training completed
EMP10038,2024-01-06,Grievance,Grievance raised with HR
EMP10038,2024-02-10,Resignation Submitted,"52-day notice, reason: Personal / Family"
EMP10038,2024-04-02,Exit,Resignation - Personal / Family
EMP10039,2021-11-04,Joined,Joined as Deputy Manager at Mantralaya Redevelopment via Employee Referral
EMP10039,2023-06-10,Manager Change,Reporting manager changed
EMP10039,2023-06-24,Training,Training completed
EMP10039,2023-07-01,Grievance,Grievance raised with HR
EMP10039,2024-02-03,Training,Training completed
EMP10039,2024-05-04,Manager Change,Reporting manager changed
EMP10039,2024-06-29,Grievance,Grievance raised with HR
EMP10039,2024-07-27,Training,Training completed
EMP10039,2024-08-31,Training,Training completed
EMP10039,2024-11-02,Promotion,Promoted / re-graded
EMP10039,2025-01-11,Training,Training completed
EMP10039,2025-05-31,Training,Training completed
EMP10039,2025-06-14,Training,Training completed
EMP10039,2025-06-28,Training,Training completed
EMP10039,2026-01-17,Grievance,Grievance raised with HR
EMP10039,2026-02-14,Resignation Submitted,"26-day notice, reason: Manager Relationship"
EMP10039,2026-03-12,Exit,Resignation - Manager Relationship
EMP10040,2025-11-01,Joined,Joined as Deputy Manager at JNPA WOLP via Naukri / Job Portal
EMP10040,2026-01-31,Training,Training completed
EMP10040,2026-02-07,Training,Training completed
EMP10040,2026-04-11,Training,Training completed
EMP10041,2019-12-09,Joined,Joined as Junior Engineer at Mantralaya Redevelopment via Naukri / Job Portal
EMP10041,2023-07-08,Resignation Submitted,"8-day notice, reason: Relocation"
EMP10041,2023-07-16,Exit,Resignation - Relocation
EMP10042,2023-10-07,Joined,Joined as Senior Engineer at Ahmedabad Water Works via Internal Transfer
EMP10042,2023-12-02,Grievance,Grievance raised with HR
EMP10042,2023-12-02,Resignation Submitted,"4-day notice, reason: Salary"
EMP10042,2023-12-06,Exit,Resignation - Salary
EMP10043,2021-04-15,Joined,Joined as QA/QC Engineer at Delhi NCR Logistics Hub via Labour Contractor
EMP10043,2023-08-26,Grievance,Grievance raised with HR
EMP10043,2024-02-10,Grievance,Grievance raised with HR
EMP10043,2024-04-27,Training,Training completed
EMP10043,2024-05-11,Training,Training completed
EMP10043,2024-06-01,Grievance,Grievance raised with HR
EMP10043,2024-07-13,Training,Training completed
EMP10043,2024-09-21,Grievance,Grievance raised with HR
EMP10043,2025-03-22,Training,Training completed
EMP10043,2025-12-20,Training,Training completed
EMP10043,2026-01-03,Grievance,Grievance raised with HR
EMP10043,2026-02-07,Resignation Submitted,"60-day notice, reason: Better Offer"
EMP10043,2026-04-08,Exit,Resignation - Better Offer
EMP10044,2025-06-28,Joined,Joined as Junior Engineer at Mantralaya Redevelopment via Internal Transfer
EMP10044,2025-10-04,Manager Change,Reporting manager changed
EMP10044,2025-12-06,Grievance,Grievance raised with HR
EMP10044,2026-03-14,Grievance,Grievance raised with HR
EMP10044,2026-03-21,Training,Training completed
EMP10044,2026-05-02,Grievance,Grievance raised with HR
EMP10044,2026-05-09,Training,Training completed
EMP10044,2026-05-09,Grievance,Grievance raised with HR
EMP10044,2026-08-08,Grievance,Grievance raised with HR
EMP10045,2021-08-15,Joined,Joined as Deputy Manager at Mantralaya Redevelopment via Recruitment Consultancy
EMP10045,2023-07-15,Manager Change,Reporting manager changed
EMP10045,2023-09-30,Grievance,Grievance raised with HR
EMP10045,2023-10-21,Training,Training completed
EMP10045,2023-11-25,Manager Change,Reporting manager changed
EMP10045,2024-01-06,Grievance,Grievance raised with HR
EMP10045,2024-01-27,Resignation Submitted,"55-day notice, reason: Personal / Family"
EMP10045,2024-03-22,Exit,Resignation - Personal / Family
EMP10046,2025-04-05,Joined,Joined as Deputy Manager at JNPA WOLP via Recruitment Consultancy
EMP10046,2025-04-19,Training,Training completed
EMP10046,2025-08-23,Training,Training completed
EMP10046,2026-05-09,Grievance,Grievance raised with HR
EMP10046,2026-07-11,Manager Change,Reporting manager changed
EMP10046,2026-08-01,Training,Training completed
EMP10046,2026-08-01,Manager Change,Reporting manager changed
EMP10046,2026-08-15,Training,Training completed
EMP10047,2022-03-19,Joined,Joined as Senior Engineer at Nagpur Expressway Pkg-4 via Employee Referral
EMP10047,2024-03-23,Training,Training completed
EMP10047,2024-06-08,Training,Training completed
EMP10047,2024-08-03,Grievance,Grievance raised with HR
EMP10047,2025-04-19,Training,Training completed
EMP10047,2025-06-21,Training,Training completed
EMP10047,2026-03-14,Promotion,Promoted / re-graded
EMP10047,2026-08-29,Training,Training completed
EMP10048,2022-04-02,Joined,Joined as Supervisor at Delhi NCR Logistics Hub via Employee Referral
EMP10048,2023-12-16,Resignation Submitted,"41-day notice, reason: Personal / Family"
EMP10048,2024-01-26,Exit,Resignation - Personal / Family
EMP10049,2023-09-30,Joined,Joined as Store Officer at Bengaluru Tech Park via Naukri / Job Portal
EMP10049,2023-12-09,Grievance,Grievance raised with HR
EMP10049,2025-07-05,Manager Change,Reporting manager changed
EMP10049,2025-09-06,Training,Training completed
EMP10049,2025-10-27,Exit,Resignation - Manager Relationship
EMP10050,2025-07-12,Joined,Joined as Site Helper at Pune Metro Reach-3 via Walk-in / Site Gate
EMP10050,2025-07-12,Manager Change,Reporting manager changed
EMP10050,2025-07-19,Training,Training completed
EMP10050,2025-09-20,Resignation Submitted,"17-day notice, reason: Manager Relationship"
EMP10050,2025-10-07,Exit,Resignation - Manager Relationship
EMP10051,2020-07-16,Joined,Joined as Deputy Manager at Pune Metro Reach-3 via Recruitment Consultancy
EMP10051,2023-12-09,Grievance,Grievance raised with HR
EMP10051,2024-03-02,Training,Training completed
EMP10051,2024-03-25,Exit,Resignation - Personal / Family
EMP10052,2024-02-17,Joined,Joined as Site Helper at Pune Metro Reach-3 via Walk-in / Site Gate
EMP10052,2024-05-04,Training,Training completed
EMP10052,2024-05-25,Grievance,Grievance raised with HR
EMP10052,2024-08-17,Grievance,Grievance raised with HR
EMP10052,2024-08-31,Training,Training completed
EMP10052,2024-09-07,Resignation Submitted,"38-day notice, reason: Work Conditions"
EMP10052,2024-10-15,Exit,Resignation - Work Conditions
EMP10053,2023-04-08,Joined,Joined as Project Manager at Ahmedabad Water Works via Internal Transfer
EMP10053,2023-08-26,Training,Training completed
EMP10053,2023-09-16,Manager Change,Reporting manager changed
EMP10053,2023-12-02,Grievance,Grievance raised with HR
EMP10053,2023-12-09,Grievance,Grievance raised with HR
EMP10053,2023-12-16,Manager Change,Reporting manager changed
EMP10053,2024-01-13,Training,Training completed
EMP10053,2024-02-03,Training,Training completed
EMP10053,2024-07-20,Training,Training completed
EMP10053,2025-01-25,Training,Training completed
EMP10053,2025-04-05,Training,Training completed
EMP10053,2025-05-24,Training,Training completed
EMP10053,2025-08-09,Manager Change,Reporting manager changed
EMP10053,2025-09-13,Training,Training completed
EMP10053,2025-10-25,Training,Training completed
EMP10053,2026-04-04,Promotion,Promoted / re-graded
EMP10053,2026-04-18,Manager Change,Reporting manager changed
EMP10054,2025-10-25,Joined,Joined as Supervisor at JNPA WOLP via Employee Referral
EMP10054,2025-11-15,Grievance,Grievance raised with HR
EMP10054,2026-01-31,Training,Training completed
EMP10054,2026-02-28,Manager Change,Reporting manager changed
EMP10054,2026-03-14,Grievance,Grievance raised with HR
EMP10054,2026-08-29,Resignation Submitted,"5-day notice, reason: Better Offer"
EMP10054,2026-09-03,Exit,Resignation - Better Offer
EMP10055,2023-10-07,Joined,Joined as Deputy Manager at Mumbai HO via Employee Referral
EMP10055,2023-10-21,Training,Training completed
EMP10055,2023-10-28,Manager Change,Reporting manager changed
EMP10055,2023-11-04,Training,Training completed
EMP10055,2023-11-25,Training,Training completed
EMP10055,2024-02-17,Grievance,Grievance raised with HR
EMP10055,2024-12-14,Manager Change,Reporting manager changed
EMP10055,2025-01-18,Manager Change,Reporting manager changed
EMP10055,2025-03-22,Manager Change,Reporting manager changed
EMP10055,2025-10-04,Promotion,Promoted / re-graded
EMP10055,2026-01-03,Manager Change,Reporting manager changed
EMP10055,2026-01-31,Training,Training completed
EMP10056,2025-10-25,Joined,Joined as Deputy Manager at Pune Metro Reach-3 via Employee Referral
EMP10056,2026-05-23,Training,Training completed
EMP10056,2026-07-18,Training,Training completed
EMP10057,2020-03-06,Joined,Joined as Senior Engineer at Ahmedabad Water Works via Labour Contractor
EMP10057,2023-04-08,Grievance,Grievance raised with HR
EMP10057,2023-06-03,Training,Training completed
EMP10057,2023-06-17,Grievance,Grievance raised with HR
EMP10057,2023-08-12,Resignation Submitted,"4-day notice, reason: Career Growth"
EMP10057,2023-08-16,Exit,Resignation - Career Growth
EMP10058,2024-03-30,Joined,Joined as Store Officer at Ahmedabad Water Works via Walk-in / Site Gate
EMP10058,2024-05-18,Training,Training completed
EMP10058,2024-11-02,Exit,End of Contract - Contract Not Renewed
EMP10059,2023-07-15,Joined,Joined as Supervisor at Ahmedabad Water Works via Labour Contractor
EMP10059,2024-05-04,Training,Training completed
EMP10059,2024-07-13,Promotion,Promoted / re-graded
EMP10059,2025-02-01,Training,Training completed
EMP10059,2025-07-12,Promotion,Promoted / re-graded
EMP10059,2025-12-13,Training,Training completed
EMP10059,2026-03-07,Training,Training completed
EMP10059,2026-05-09,Grievance,Grievance raised with HR
EMP10059,2026-05-16,Grievance,Grievance raised with HR
EMP10059,2026-06-13,Training,Training completed
EMP10060,2022-11-25,Joined,Joined as Deputy Manager at Nagpur Expressway Pkg-4 via Internal Transfer
EMP10060,2023-04-15,Grievance,Grievance raised with HR
EMP10060,2023-07-08,Training,Training completed
EMP10060,2023-12-09,Training,Training completed
EMP10060,2024-04-27,Training,Training completed
EMP10060,2024-05-18,Grievance,Grievance raised with HR
EMP10060,2024-08-17,Manager Change,Reporting manager changed
EMP10060,2024-09-28,Grievance,Grievance raised with HR
EMP10060,2024-11-09,Manager Change,Reporting manager changed
EMP10060,2024-11-16,Grievance,Grievance raised with HR
EMP10060,2024-11-23,Promotion,Promoted / re-graded
EMP10060,2024-11-30,Grievance,Grievance raised with HR
EMP10060,2025-03-29,Grievance,Grievance raised with HR
EMP10060,2025-05-10,Resignation Submitted,"6-day notice, reason: Personal / Family"
EMP10060,2025-05-16,Exit,Resignation - Personal / Family
EMP10061,2023-06-17,Joined,Joined as Procurement Executive at Delhi NCR Logistics Hub via Recruitment Consultancy
EMP10061,2024-10-05,Grievance,Grievance raised with HR
EMP10061,2024-11-02,Manager Change,Reporting manager changed
EMP10061,2025-03-15,Manager Change,Reporting manager changed
EMP10061,2025-03-29,Manager Change,Reporting manager changed
EMP10061,2026-01-31,Grievance,Grievance raised with HR
EMP10062,2026-03-28,Joined,Joined as Junior Engineer at Ahmedabad Water Works via Internal Transfer
EMP10062,2026-04-08,Exit,Absconding - Wage Dispute
EMP10063,2019-09-26,Joined,Joined as Junior Engineer at JNPA WOLP via Campus Hiring
EMP10063,2023-07-01,Resignation Submitted,"4-day notice, reason: Salary"
EMP10063,2023-07-05,Exit,Resignation - Salary
EMP10064,2021-02-08,Joined,Joined as Deputy Manager at JNPA WOLP via Naukri / Job Portal
EMP10064,2023-04-01,Manager Change,Reporting manager changed
EMP10064,2024-02-17,Training,Training completed
EMP10064,2024-02-24,Training,Training completed
EMP10064,2024-05-04,Training,Training completed
EMP10064,2024-11-16,Manager Change,Reporting manager changed
EMP10064,2025-01-18,Training,Training completed
EMP10064,2025-07-19,Manager Change,Reporting manager changed
EMP10064,2025-12-06,Training,Training completed
EMP10064,2026-08-22,Resignation Submitted,"6-day notice, reason: Manager Relationship"
EMP10064,2026-08-28,Exit,Resignation - Manager Relationship
EMP10065,2020-10-20,Joined,Joined as Deputy Manager at Nagpur Expressway Pkg-4 via Employee Referral
EMP10065,2023-10-28,Training,Training completed
EMP10065,2023-12-30,Training,Training completed
EMP10065,2024-06-22,Training,Training completed
EMP10065,2024-08-03,Training,Training completed
EMP10065,2024-08-17,Training,Training completed
EMP10065,2025-04-12,Training,Training completed
EMP10065,2025-06-14,Training,Training completed
EMP10065,2025-12-13,Training,Training completed
EMP10065,2026-07-04,Training,Training completed
EMP10066,2025-04-12,Joined,Joined as HR Executive at Nagpur Expressway Pkg-4 via Naukri / Job Portal
EMP10066,2026-01-10,Training,Training completed
EMP10066,2026-03-21,Manager Change,Reporting manager changed
EMP10066,2026-04-11,Promotion,Promoted / re-graded
EMP10066,2026-08-01,Training,Training completed
EMP10067,2024-07-20,Joined,Joined as Procurement Executive at Mantralaya Redevelopment via Recruitment Consultancy
EMP10067,2024-07-20,Grievance,Grievance raised with HR
EMP10067,2024-10-26,Training,Training completed
EMP10067,2024-12-07,Manager Change,Reporting manager changed
EMP10067,2025-04-26,Training,Training completed
EMP10067,2025-05-17,Manager Change,Reporting manager changed
EMP10067,2025-09-13,Training,Training completed
EMP10067,2025-10-25,Training,Training completed
EMP10067,2025-12-27,Training,Training completed
EMP10067,2026-02-14,Resignation Submitted,"44-day notice, reason: Career Growth"
EMP10067,2026-03-30,Exit,Resignation - Career Growth
EMP10068,2020-05-20,Joined,Joined as Deputy Manager at Ahmedabad Water Works via Recruitment Consultancy
EMP10068,2023-11-11,Training,Training completed
EMP10068,2024-09-28,Grievance,Grievance raised with HR
EMP10068,2024-11-07,Exit,End of Contract - Project Demobilisation
EMP10069,2025-02-08,Joined,Joined as Senior Engineer at Ahmedabad Water Works via Recruitment Consultancy
EMP10069,2025-03-15,Training,Training completed
EMP10069,2025-06-14,Training,Training completed
EMP10069,2025-10-18,Manager Change,Reporting manager changed
EMP10069,2025-10-25,Grievance,Grievance raised with HR
EMP10070,2024-11-30,Joined,Joined as Senior Engineer at Pune Metro Reach-3 via Naukri / Job Portal
EMP10070,2025-05-10,Exit,Resignation - Career Growth
EMP10071,2026-03-21,Joined,Joined as Planning Engineer at Delhi NCR Logistics Hub via Walk-in / Site Gate
EMP10071,2026-07-25,Grievance,Grievance raised with HR
EMP10072,2025-07-26,Joined,Joined as Accounts Officer at Mantralaya Redevelopment via Naukri / Job Portal
EMP10072,2025-10-25,Manager Change,Reporting manager changed
EMP10072,2026-06-20,Training,Training completed
EMP10072,2026-07-25,Training,Training completed
