EmployeeID,DOJ,Department,Position,Grade,Site,SiteType,ManagerID,EmploymentType,RecruitmentSource,Age,PriorExperienceYears,MonthlySalary,SalaryVsRoleBenchmark,DistanceFromSiteKm,AccommodationProvided,BusinessCriticality,RealisticJobPreview,SiteRemoteness
EMP10035,2024-12-28,Civil Execution,Site Engineer,3,JNPA WOLP,Port Infrastructure,MGR055,Permanent,Walk-in / Site Gate,34,4.6,34300,-0.2072,18.7,0,3,0,0.55
EMP10036,2023-08-05,Quality Assurance & Control,QA/QC Engineer,3,Nagpur Expressway Pkg-4,Highway,MGR016,Permanent,Naukri / Job Portal,26,3.8,49100,0.0672,5.5,1,3,1,0.85
EMP10037,2025-03-29,Design & Engineering,Senior Engineer,4,Ahmedabad Water Works,Water,MGR054,Permanent,Naukri / Job Portal,33,7.8,69500,0.025,51.9,0,4,0,0.65
EMP10038,2019-08-16,Design & Engineering,Senior Engineer,4,Delhi NCR Logistics Hub,Industrial,MGR108,Permanent,Walk-in / Site Gate,29,5.3,57200,-0.1326,40.1,0,4,1,0.45
EMP10039,2021-11-04,Procurement,Deputy Manager,5,Mantralaya Redevelopment,Government Building,MGR099,Apprentice / Trainee,Employee Referral,35,7.8,89400,-0.0268,12.8,0,4,1,0.15
EMP10040,2025-11-01,Planning & Coordination,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR100,Permanent,Naukri / Job Portal,32,6.7,86900,-0.0425,8.3,1,4,0,0.55
EMP10041,2019-12-09,MEP,Junior Engineer,2,Mantralaya Redevelopment,Government Building,MGR042,Fixed Term Contract,Naukri / Job Portal,39,1.6,29300,0.1057,2.5,0,2,0,0.15
EMP10042,2023-10-07,MEP,Senior Engineer,4,Ahmedabad Water Works,Water,MGR089,Fixed Term Contract,Internal Transfer,41,4.7,63900,-0.0244,29.7,0,4,0,0.65
EMP10043,2021-04-15,Quality Assurance & Control,QA/QC Engineer,3,Delhi NCR Logistics Hub,Industrial,MGR054,Permanent,Labour Contractor,37,4.0,40500,-0.1217,28.8,0,3,1,0.45
EMP10044,2025-06-28,MEP,Junior Engineer,2,Mantralaya Redevelopment,Government Building,MGR109,Permanent,Internal Transfer,37,3.0,27300,0.0135,7.8,0,2,1,0.15
EMP10045,2021-08-15,Stores & Logistics,Deputy Manager,5,Mantralaya Redevelopment,Government Building,MGR110,Permanent,Recruitment Consultancy,32,6.8,98200,0.0809,35.4,0,4,0,0.15
EMP10046,2025-04-05,MEP,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR038,Permanent,Recruitment Consultancy,38,7.9,90000,-0.0213,4.5,1,4,0,0.55
EMP10047,2022-03-19,MEP,Senior Engineer,4,Nagpur Expressway Pkg-4,Highway,MGR117,Permanent,Employee Referral,34,6.4,65700,-0.0159,4.2,1,4,1,0.85
EMP10048,2022-04-02,Stores & Logistics,Supervisor,2,Delhi NCR Logistics Hub,Industrial,MGR037,Permanent,Employee Referral,19,2.9,26700,-0.1103,1.1,1,2,1,0.45
EMP10049,2023-09-30,Stores & Logistics,Store Officer,2,Bengaluru Tech Park,Commercial,MGR114,Fixed Term Contract,Naukri / Job Portal,32,2.8,32200,0.1126,1.0,0,2,1,0.2
EMP10050,2025-07-12,Civil Execution,Site Helper,1,Pune Metro Reach-3,Metro,MGR012,Apprentice / Trainee,Walk-in / Site Gate,44,0.3,15600,-0.0579,11.2,0,1,0,0.25
EMP10051,2020-07-16,Planning & Coordination,Deputy Manager,5,Pune Metro Reach-3,Metro,MGR094,Fixed Term Contract,Recruitment Consultancy,42,7.6,86800,-0.053,18.5,0,4,0,0.25
EMP10052,2024-02-17,Civil Execution,Site Helper,1,Pune Metro Reach-3,Metro,MGR029,Permanent,Walk-in / Site Gate,19,1.3,16700,-0.0034,4.8,0,1,0,0.25
EMP10053,2023-04-08,Civil Execution,Project Manager,6,Ahmedabad Water Works,Water,MGR051,Permanent,Internal Transfer,39,7.7,157100,0.1235,27.8,0,5,1,0.65
EMP10054,2025-10-25,Stores & Logistics,Supervisor,2,JNPA WOLP,Port Infrastructure,MGR109,Fixed Term Contract,Employee Referral,25,2.1,27500,-0.075,93.9,0,2,1,0.55
EMP10055,2023-10-07,Design & Engineering,Deputy Manager,5,Mumbai HO,Corporate,MGR086,Permanent,Employee Referral,43,7.9,89600,-0.0257,25.8,0,4,1,0.05
EMP10056,2025-10-25,Accounts & Finance,Deputy Manager,5,Pune Metro Reach-3,Metro,MGR089,Permanent,Employee Referral,32,6.8,90400,-0.005,6.0,0,4,1,0.25
EMP10057,2020-03-06,MEP,Senior Engineer,4,Ahmedabad Water Works,Water,MGR017,Fixed Term Contract,Labour Contractor,29,5.6,56100,-0.1521,3.2,1,4,0,0.65
EMP10058,2024-03-30,Stores & Logistics,Store Officer,2,Ahmedabad Water Works,Water,MGR116,Fixed Term Contract,Walk-in / Site Gate,27,2.2,30000,0.0439,16.1,0,2,1,0.65
EMP10059,2023-07-15,Civil Execution,Supervisor,2,Ahmedabad Water Works,Water,MGR115,Permanent,Labour Contractor,30,3.5,26000,-0.1396,6.4,1,2,1,0.65
EMP10060,2022-11-25,Stores & Logistics,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR002,Fixed Term Contract,Internal Transfer,47,7.9,105300,0.145,4.3,1,4,1,0.85
EMP10061,2023-06-17,Procurement,Procurement Executive,3,Delhi NCR Logistics Hub,Industrial,MGR040,Permanent,Recruitment Consultancy,36,3.8,57400,0.2199,0.5,1,3,0,0.45
EMP10062,2026-03-28,MEP,Junior Engineer,2,Ahmedabad Water Works,Water,MGR115,Fixed Term Contract,Internal Transfer,19,1.7,27200,0.0252,4.4,1,2,1,0.65
EMP10063,2019-09-26,Quality Assurance & Control,Junior Engineer,2,JNPA WOLP,Port Infrastructure,MGR094,Fixed Term Contract,Campus Hiring,27,4.6,26500,-0.0341,2.1,1,2,1,0.55
EMP10064,2021-02-08,Planning & Coordination,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR072,Fixed Term Contract,Naukri / Job Portal,34,8.0,108700,0.1807,3.0,1,4,1,0.55
EMP10065,2020-10-20,Planning & Coordination,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR043,Permanent,Employee Referral,30,9.7,100300,0.0696,24.8,0,4,1,0.85
EMP10066,2025-04-12,Business Support Services,HR Executive,3,Nagpur Expressway Pkg-4,Highway,MGR059,Permanent,Naukri / Job Portal,46,4.2,42300,0.1186,13.3,1,2,1,0.85
EMP10067,2024-07-20,Procurement,Procurement Executive,3,Mantralaya Redevelopment,Government Building,MGR091,Permanent,Recruitment Consultancy,36,7.8,65000,0.3208,11.6,0,3,0,0.15
EMP10068,2020-05-20,Accounts & Finance,Deputy Manager,5,Ahmedabad Water Works,Water,MGR085,Fixed Term Contract,Recruitment Consultancy,42,6.7,76300,-0.1593,4.5,1,4,1,0.65
EMP10069,2025-02-08,Design & Engineering,Senior Engineer,4,Ahmedabad Water Works,Water,MGR115,Permanent,Recruitment Consultancy,36,4.6,59000,-0.0982,24.8,0,4,1,0.65
EMP10070,2024-11-30,Civil Execution,Senior Engineer,4,Pune Metro Reach-3,Metro,MGR065,Fixed Term Contract,Naukri / Job Portal,42,4.7,65400,-0.0015,10.6,0,4,1,0.25
EMP10071,2026-03-21,Planning & Coordination,Planning Engineer,4,Delhi NCR Logistics Hub,Industrial,MGR106,Permanent,Walk-in / Site Gate,35,6.9,63100,0.0047,3.8,1,4,1,0.45
EMP10072,2025-07-26,Accounts & Finance,Accounts Officer,3,Mantralaya Redevelopment,Government Building,MGR053,Fixed Term Contract,Naukri / Job Portal,23,4.7,50900,0.3022,8.4,0,2,1,0.15
EMP10073,2025-06-07,Business Support Services,Procurement Executive,3,Mantralaya Redevelopment,Government Building,MGR082,Permanent,Naukri / Job Portal,32,5.5,53000,0.1049,10.4,0,3,1,0.15
EMP10074,2026-03-14,Accounts & Finance,Accounts Officer,3,Pune Metro Reach-3,Metro,MGR029,Retainer,Labour Contractor,27,3.3,36300,-0.0563,43.4,0,2,0,0.25
EMP10075,2019-05-06,HR & Admin,HR Executive,3,Nagpur Expressway Pkg-4,Highway,MGR017,Permanent,Internal Transfer,26,3.6,48500,0.2914,2.8,1,2,1,0.85
EMP10076,2024-04-13,Civil Execution,Supervisor,2,JNPA WOLP,Port Infrastructure,MGR090,Fixed Term Contract,Recruitment Consultancy,29,3.5,31400,0.0391,1.9,1,2,1,0.55
EMP10077,2024-07-20,Planning & Coordination,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR091,Apprentice / Trainee,Employee Referral,44,6.3,82500,-0.0869,3.9,1,4,1,0.85
EMP10078,2024-01-06,MEP,Senior Engineer,4,Delhi NCR Logistics Hub,Industrial,MGR101,Permanent,Naukri / Job Portal,46,7.7,64000,-0.0551,46.4,0,4,0,0.45
EMP10079,2021-07-04,Design & Engineering,Deputy Manager,5,Mantralaya Redevelopment,Government Building,MGR074,Retainer,Employee Referral,42,7.5,83900,-0.0837,35.3,0,4,1,0.15
EMP10080,2024-07-13,EHS,Supervisor,2,Mantralaya Redevelopment,Government Building,MGR025,Fixed Term Contract,Internal Transfer,34,1.9,24100,-0.1875,26.4,0,2,1,0.15
EMP10081,2024-03-30,Stores & Logistics,Deputy Manager,5,Mantralaya Redevelopment,Government Building,MGR082,Fixed Term Contract,Employee Referral,33,7.4,102800,0.124,28.3,0,4,1,0.15
EMP10082,2023-09-02,Design & Engineering,Senior Engineer,4,Mumbai HO,Corporate,MGR020,Permanent,Employee Referral,38,5.3,56600,-0.1417,3.6,0,4,1,0.05
EMP10083,2026-01-17,MEP,Site Engineer,3,Nagpur Expressway Pkg-4,Highway,MGR119,Fixed Term Contract,Campus Hiring,25,5.1,39900,-0.083,3.6,1,3,1,0.85
EMP10084,2026-06-20,Civil Execution,Project Manager,6,Bengaluru Tech Park,Commercial,MGR004,Permanent,Employee Referral,36,8.8,155200,0.0967,7.9,0,5,1,0.2
EMP10085,2021-09-03,Stores & Logistics,Site Helper,1,JNPA WOLP,Port Infrastructure,MGR011,Permanent,Employee Referral,19,0.4,16800,0.0133,14.4,0,1,0,0.55
EMP10086,2025-05-17,MEP,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR030,Fixed Term Contract,Recruitment Consultancy,35,8.2,80000,-0.1329,0.7,1,4,0,0.85
EMP10087,2020-08-10,MEP,Junior Engineer,2,JNPA WOLP,Port Infrastructure,MGR082,Fixed Term Contract,Recruitment Consultancy,34,2.6,21900,-0.1832,2.8,1,2,1,0.55
EMP10088,2021-06-12,Stores & Logistics,Supervisor,2,Pune Metro Reach-3,Metro,MGR014,Fixed Term Contract,Labour Contractor,31,1.5,24700,-0.1633,27.9,0,2,0,0.25
EMP10089,2023-06-24,Civil Execution,Construction Manager,5,Nagpur Expressway Pkg-4,Highway,MGR034,Fixed Term Contract,Employee Referral,40,7.8,117400,0.1182,8.2,1,5,1,0.85
EMP10090,2026-02-07,Stores & Logistics,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR096,Fixed Term Contract,Employee Referral,45,6.8,98900,0.0886,2.4,1,4,1,0.85
EMP10091,2025-04-12,Civil Execution,Junior Engineer,2,JNPA WOLP,Port Infrastructure,MGR073,Fixed Term Contract,Labour Contractor,32,1.7,22100,-0.167,4.6,1,2,1,0.55
EMP10092,2020-01-03,Planning & Coordination,Deputy Manager,5,Delhi NCR Logistics Hub,Industrial,MGR028,Fixed Term Contract,Recruitment Consultancy,44,9.4,121100,0.2955,3.4,1,4,1,0.45
EMP10093,2025-01-25,Civil Execution,Site Engineer,3,Nagpur Expressway Pkg-4,Highway,MGR101,Fixed Term Contract,Labour Contractor,45,4.2,48700,0.1308,2.0,1,3,1,0.85
EMP10094,2023-06-10,Civil Execution,Project Manager,6,JNPA WOLP,Port Infrastructure,MGR059,Permanent,Employee Referral,44,8.8,151100,0.0677,1.7,1,5,1,0.55
EMP10095,2019-04-08,Civil Execution,Construction Manager,5,Nagpur Expressway Pkg-4,Highway,MGR105,Permanent,Employee Referral,36,6.1,115500,0.1211,1.5,1,5,1,0.85
EMP10096,2022-02-08,Quality Assurance & Control,Junior Engineer,2,Pune Metro Reach-3,Metro,MGR089,Fixed Term Contract,Recruitment Consultancy,35,1.6,28200,0.0642,20.3,0,2,0,0.25
EMP10097,2023-05-20,EHS,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR027,Retainer,Recruitment Consultancy,40,8.4,77700,-0.1597,4.0,1,4,0,0.55
EMP10098,2023-04-22,Planning & Coordination,Senior Engineer,4,Pune Metro Reach-3,Metro,MGR016,Fixed Term Contract,Naukri / Job Portal,40,7.7,53000,-0.2175,19.6,0,4,1,0.25
EMP10099,2021-09-23,Accounts & Finance,Accounts Officer,3,Mumbai HO,Corporate,MGR040,Fixed Term Contract,Campus Hiring,29,3.9,46800,0.2083,4.6,0,2,1,0.05
EMP10100,2025-10-11,Civil Execution,Site Engineer,3,Ahmedabad Water Works,Water,MGR113,Permanent,Naukri / Job Portal,23,3.9,40200,-0.0633,41.7,0,3,0,0.65
EMP10101,2025-05-24,MEP,Site Engineer,3,Delhi NCR Logistics Hub,Industrial,MGR035,Permanent,Recruitment Consultancy,36,3.7,38000,-0.1126,23.7,0,3,1,0.45
EMP10102,2023-07-22,Planning & Coordination,Senior Engineer,4,Delhi NCR Logistics Hub,Industrial,MGR008,Permanent,Employee Referral,31,4.9,71700,0.0922,0.5,1,4,1,0.45
EMP10103,2019-07-14,Design & Engineering,Design Engineer,4,Ahmedabad Water Works,Water,MGR001,Permanent,Naukri / Job Portal,34,5.9,54200,-0.1564,2.8,1,4,1,0.65
EMP10104,2020-08-31,Planning & Coordination,Planning Engineer,4,Pune Metro Reach-3,Metro,MGR049,Permanent,Naukri / Job Portal,35,8.5,64300,0.006,53.0,0,4,1,0.25
EMP10105,2020-02-23,Stores & Logistics,Deputy Manager,5,Pune Metro Reach-3,Metro,MGR034,Permanent,Recruitment Consultancy,32,7.2,106000,0.1615,28.6,0,4,1,0.25
EMP10106,2024-08-10,Civil Execution,Construction Manager,5,Pune Metro Reach-3,Metro,MGR119,Fixed Term Contract,Employee Referral,40,6.4,85100,-0.1768,4.8,0,5,1,0.25
EMP10107,2022-10-05,EHS,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR055,Fixed Term Contract,Employee Referral,43,6.3,91600,0.0138,21.9,0,4,1,0.55
EMP10108,2023-08-12,EHS,Safety Officer,3,Mantralaya Redevelopment,Government Building,MGR030,Fixed Term Contract,Employee Referral,27,3.4,44200,0.0889,10.6,0,3,1,0.15
EMP10109,2019-04-15,Planning & Coordination,Deputy Manager,5,Pune Metro Reach-3,Metro,MGR043,Permanent,Naukri / Job Portal,39,7.5,82500,-0.099,2.8,0,4,0,0.25
EMP10110,2023-06-24,Civil Execution,Site Engineer,3,Nagpur Expressway Pkg-4,Highway,MGR031,Fixed Term Contract,Employee Referral,29,4.1,36600,-0.1492,1.0,1,3,1,0.85
EMP10111,2026-07-04,EHS,Safety Officer,3,Ahmedabad Water Works,Water,MGR075,Permanent,Labour Contractor,28,4.5,32100,-0.2191,1.4,1,3,0,0.65
EMP10112,2025-08-23,Planning & Coordination,Senior Engineer,4,Pune Metro Reach-3,Metro,MGR030,Fixed Term Contract,Naukri / Job Portal,22,4.8,61100,-0.0682,24.2,0,4,0,0.25
EMP10113,2024-04-20,Business Support Services,HR Executive,3,Bengaluru Tech Park,Commercial,MGR120,Permanent,Employee Referral,40,4.2,44000,0.1636,5.7,0,2,1,0.2
EMP10114,2024-11-09,MEP,Senior Engineer,4,Ahmedabad Water Works,Water,MGR052,Fixed Term Contract,Naukri / Job Portal,35,5.8,73000,0.1008,1.6,1,4,0,0.65
EMP10115,2023-10-28,MEP,Junior Engineer,2,Bengaluru Tech Park,Commercial,MGR053,Permanent,Walk-in / Site Gate,30,3.2,27600,0.0223,2.1,0,2,0,0.2
EMP10116,2025-10-11,Planning & Coordination,Senior Engineer,4,JNPA WOLP,Port Infrastructure,MGR077,Permanent,Recruitment Consultancy,27,5.4,66600,0.0088,63.9,0,4,0,0.55
EMP10117,2021-08-15,Civil Execution,Construction Manager,5,Bengaluru Tech Park,Commercial,MGR057,Permanent,Employee Referral,25,8.8,90900,-0.1436,2.6,0,5,0,0.2
EMP10118,2025-08-23,Procurement,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR050,Permanent,Naukri / Job Portal,37,6.8,112200,0.2349,1.7,1,4,1,0.85
EMP10119,2024-11-30,EHS,Supervisor,2,Nagpur Expressway Pkg-4,Highway,MGR118,Permanent,Employee Referral,27,2.4,22600,-0.2425,1.7,1,2,1,0.85
EMP10120,2025-05-31,HR & Admin,HR Executive,3,Mumbai HO,Corporate,MGR055,Permanent,Campus Hiring,38,3.4,39500,0.0542,26.4,0,2,1,0.05
EMP10121,2020-11-09,Planning & Coordination,Deputy Manager,5,JNPA WOLP,Port Infrastructure,MGR060,Fixed Term Contract,Employee Referral,36,6.9,73300,-0.1941,6.5,1,4,1,0.55
EMP10122,2023-04-01,Quality Assurance & Control,QA/QC Engineer,3,Ahmedabad Water Works,Water,MGR098,Fixed Term Contract,Internal Transfer,37,5.6,54600,0.1628,1.6,1,3,0,0.65
EMP10123,2025-04-19,Civil Execution,Junior Engineer,2,Bengaluru Tech Park,Commercial,MGR109,Fixed Term Contract,Employee Referral,23,2.2,29000,0.0867,40.4,0,2,1,0.2
EMP10124,2025-09-06,Civil Execution,Construction Manager,5,Nagpur Expressway Pkg-4,Highway,MGR030,Permanent,Recruitment Consultancy,43,6.2,111700,0.083,2.8,1,5,0,0.85
EMP10125,2021-06-04,Procurement,Deputy Manager,5,Mumbai HO,Corporate,MGR073,Permanent,Employee Referral,42,6.7,88400,-0.0259,4.0,0,4,1,0.05
EMP10126,2021-01-14,Business Support Services,HR Executive,3,Nagpur Expressway Pkg-4,Highway,MGR059,Fixed Term Contract,Labour Contractor,27,5.5,31700,-0.174,4.6,1,2,0,0.85
EMP10127,2025-01-18,MEP,Junior Engineer,2,Pune Metro Reach-3,Metro,MGR109,Fixed Term Contract,Naukri / Job Portal,31,3.7,25900,-0.0462,20.7,0,2,0,0.25
EMP10128,2025-08-09,Quality Assurance & Control,Deputy Manager,5,Bengaluru Tech Park,Commercial,MGR084,Apprentice / Trainee,Recruitment Consultancy,40,8.6,110800,0.1957,30.8,0,4,0,0.2
EMP10129,2023-09-23,Quality Assurance & Control,QA/QC Engineer,3,Mantralaya Redevelopment,Government Building,MGR053,Retainer,Naukri / Job Portal,29,4.0,50400,0.093,36.1,0,3,0,0.15
EMP10130,2022-04-08,Design & Engineering,Senior Engineer,4,Nagpur Expressway Pkg-4,Highway,MGR060,Permanent,Employee Referral,23,6.3,51500,-0.2277,2.8,1,4,1,0.85
EMP10131,2025-11-15,MEP,Senior Engineer,4,Delhi NCR Logistics Hub,Industrial,MGR111,Fixed Term Contract,Recruitment Consultancy,32,6.1,79600,0.1963,0.9,1,4,1,0.45
EMP10132,2025-01-04,Civil Execution,Site Helper,1,Nagpur Expressway Pkg-4,Highway,MGR011,Fixed Term Contract,Employee Referral,27,1.8,15700,-0.0686,5.3,1,1,1,0.85
EMP10133,2025-03-08,HR & Admin,Deputy Manager,5,Nagpur Expressway Pkg-4,Highway,MGR067,Fixed Term Contract,Naukri / Job Portal,33,8.9,102000,0.0971,2.4,1,4,1,0.85
EMP10134,2024-02-17,Design & Engineering,Senior Engineer,4,Mantralaya Redevelopment,Government Building,MGR118,Retainer,Naukri / Job Portal,30,6.4,64200,-0.0384,20.2,0,4,1,0.15
EMP10135,2026-01-10,Business Support Services,Accounts Officer,3,Mumbai HO,Corporate,MGR088,Permanent,Campus Hiring,29,4.5,36000,-0.0769,16.8,0,2,1,0.05
EMP10136,2023-11-11,Civil Execution,Senior Engineer,4,JNPA WOLP,Port Infrastructure,MGR032,Permanent,Employee Referral,31,7.6,89700,0.3259,4.5,1,4,1,0.55
EMP10137,2023-04-15,Business Support Services,HR Executive,3,Pune Metro Reach-3,Metro,MGR008,Fixed Term Contract,Labour Contractor,29,3.6,34900,-0.0707,8.2,0,2,1,0.25
EMP10138,2025-11-15,Civil Execution,Project Manager,6,Mantralaya Redevelopment,Government Building,MGR095,Permanent,Employee Referral,48,8.1,120500,-0.142,5.5,0,5,1,0.15
EMP10139,2023-09-16,EHS,Supervisor,2,Bengaluru Tech Park,Commercial,MGR059,Fixed Term Contract,Labour Contractor,31,2.5,27600,-0.076,29.9,0,2,0,0.2
EMP10140,2024-06-22,Civil Execution,Project Manager,6,Ahmedabad Water Works,Water,MGR085,Permanent,Recruitment Consultancy,52,8.2,172800,0.2291,15.9,0,5,0,0.65
EMP10141,2025-04-19,Design & Engineering,Design Engineer,4,Mumbai HO,Corporate,MGR033,Fixed Term Contract,Campus Hiring,39,6.4,72700,0.1252,31.4,0,4,1,0.05
