EmployeeID,ExitDate,ExitType,ExitReason,TenureDaysAtExit
EMP10115,2023-11-11,Resignation,Better Offer,14
EMP10120,2026-08-06,Resignation,Personal / Family,432
EMP10121,2024-03-16,Resignation,Relocation,1223
EMP10122,2023-04-23,Resignation,Relocation,22
EMP10126,2024-02-10,Resignation,Career Growth,1122
EMP10127,2025-02-07,Absconding,Wage Dispute,20
EMP10128,2026-08-26,Resignation,Career Growth,382
EMP10131,2025-12-29,Absconding,Wage Dispute,44
EMP10132,2025-04-30,Resignation,Work Conditions,116
EMP10133,2025-04-17,Absconding,Site Conditions,40
EMP10137,2023-05-15,Absconding,No Intimation,30
EMP10139,2023-09-17,Resignation,Relocation,1
EMP10140,2024-10-11,Resignation,Relocation,111
EMP10143,2023-11-12,Resignation,Relocation,1717
EMP10145,2023-11-21,Resignation,Relocation,17
EMP10146,2023-05-13,Resignation,Salary,605
EMP10147,2024-03-31,Resignation,Salary,733
EMP10148,2025-11-12,Resignation,Manager Relationship,2308
EMP10149,2024-09-18,Resignation,Manager Relationship,452
EMP10151,2026-02-07,Absconding,No Intimation,42
EMP10152,2026-09-14,End of Contract,Project Demobilisation,44
EMP10153,2026-08-25,Resignation,Career Growth,73
EMP10154,2026-07-04,Resignation,Personal / Family,1099
EMP10155,2024-01-22,Resignation,Better Offer,16
EMP10156,2026-01-11,Resignation,Work Conditions,183
EMP10158,2025-11-06,Resignation,Career Growth,1727
EMP10160,2026-05-02,Resignation,Salary,196
EMP10161,2025-09-03,Resignation,Relocation,417
EMP10162,2024-12-21,Resignation,Personal / Family,7
EMP10163,2026-08-07,Resignation,Relocation,34
EMP10165,2024-03-30,End of Contract,Contract Not Renewed,231
EMP10166,2024-03-12,Resignation,Work Conditions,1803
EMP10167,2026-04-01,Resignation,Work Conditions,1261
EMP10169,2026-08-20,Resignation,Work Conditions,33
EMP10171,2025-05-05,Absconding,Site Conditions,44
EMP10172,2025-09-21,Resignation,Relocation,309
EMP10174,2025-11-24,Resignation,Personal / Family,366
EMP10177,2026-03-15,Resignation,Relocation,946
EMP10178,2024-06-22,Absconding,Wage Dispute,21
EMP10179,2025-10-02,Resignation,Career Growth,236
EMP10180,2025-09-27,Resignation,Personal / Family,168
EMP10181,2023-10-09,Resignation,Career Growth,970
EMP10182,2026-06-15,Resignation,Relocation,807
EMP10184,2023-12-11,Resignation,Manager Relationship,219
EMP10185,2026-07-04,Resignation,Personal / Family,231
EMP10188,2023-12-15,Resignation,Personal / Family,1528
EMP10190,2023-10-11,Resignation,Personal / Family,130
EMP10191,2024-11-04,Absconding,No Intimation,2
EMP10193,2026-04-05,Resignation,Work Conditions,2570
EMP10195,2023-10-27,Termination,Performance,83
EMP10197,2026-09-15,Resignation,Relocation,1032
EMP10199,2024-08-09,End of Contract,Contract Not Renewed,62
EMP10200,2026-02-21,End of Contract,Contract Not Renewed,28
EMP10203,2024-07-21,Resignation,Salary,36
EMP10204,2025-09-21,Resignation,Manager Relationship,666
EMP10206,2023-12-19,Resignation,Better Offer,1262
EMP10207,2024-06-03,Resignation,Work Conditions,1738
EMP10208,2025-01-26,Resignation,Work Conditions,1956
EMP10210,2025-05-21,Resignation,Manager Relationship,263
EMP10212,2026-06-04,Resignation,Work Conditions,467
EMP10214,2024-06-11,Resignation,Personal / Family,1752
EMP10215,2025-01-26,Resignation,Better Offer,43
EMP10216,2023-06-04,Resignation,Personal / Family,1544
EMP10217,2023-12-19,Absconding,Site Conditions,38
EMP10219,2026-03-28,Resignation,Personal / Family,7
EMP10220,2025-01-01,Resignation,Relocation,193
EMP10223,2026-02-28,Resignation,Personal / Family,980
EMP10224,2023-09-13,Resignation,Manager Relationship,299
EMP10225,2024-10-10,Resignation,Personal / Family,194
EMP10226,2024-04-01,Resignation,Salary,261
EMP10227,2024-12-16,Resignation,Relocation,23
EMP10228,2023-08-27,Resignation,Manager Relationship,1319
EMP10229,2025-08-15,Termination,Disciplinary,959
EMP10230,2026-02-15,Resignation,Manager Relationship,1156
EMP10234,2026-08-15,Resignation,Work Conditions,126
EMP10235,2026-05-07,Resignation,Personal / Family,537
EMP10236,2024-06-01,Resignation,Manager Relationship,1688
EMP10237,2025-11-16,Resignation,Personal / Family,218
EMP10238,2025-08-15,Resignation,Manager Relationship,286
EMP10240,2023-06-26,Resignation,Relocation,901
EMP10242,2025-10-20,Resignation,Work Conditions,289
EMP10243,2024-10-20,Resignation,Salary,1945
EMP10244,2024-02-03,Resignation,Career Growth,1762
EMP10248,2024-03-02,Resignation,Relocation,21
EMP10249,2026-07-05,Resignation,Career Growth,15
EMP10250,2024-07-20,Resignation,Better Offer,7
EMP10252,2026-06-10,Resignation,Relocation,123
EMP10253,2026-03-12,Termination,Disciplinary,782
EMP10257,2024-12-03,Resignation,Career Growth,542
EMP10258,2025-08-15,Resignation,Manager Relationship,34
EMP10259,2024-08-31,Resignation,Career Growth,182
EMP10260,2025-12-21,Resignation,Salary,295
EMP10262,2024-10-05,Absconding,Site Conditions,21
EMP10263,2024-08-05,Resignation,Salary,1198
EMP10265,2023-06-01,Resignation,Personal / Family,756
EMP10266,2023-09-05,Resignation,Manager Relationship,1407
EMP10269,2025-05-09,Resignation,Salary,2267
EMP10271,2023-05-09,Absconding,Wage Dispute,10
EMP10272,2024-02-22,Resignation,Work Conditions,858
EMP10273,2025-05-17,Resignation,Manager Relationship,14
EMP10275,2025-06-29,Resignation,Salary,2175
EMP10276,2024-04-10,Resignation,Career Growth,312
EMP10278,2026-05-15,Resignation,Work Conditions,202
EMP10281,2026-06-29,Resignation,Career Growth,23
EMP10283,2025-11-22,Absconding,No Intimation,28
EMP10284,2026-09-11,Resignation,Career Growth,139
EMP10288,2025-02-17,End of Contract,Project Demobilisation,359
EMP10289,2026-06-15,End of Contract,Contract Not Renewed,2088
EMP10290,2025-09-24,Resignation,Salary,277
EMP10291,2024-03-30,Absconding,Site Conditions,14
EMP10293,2026-01-18,Resignation,Personal / Family,344
EMP10294,2026-06-13,Resignation,Work Conditions,112
EMP10295,2024-01-03,Resignation,Manager Relationship,684
EMP10296,2024-11-23,Resignation,Salary,14
EMP10297,2023-05-28,Resignation,Manager Relationship,43
EMP10298,2023-06-16,Resignation,Manager Relationship,1284
EMP10300,2026-08-20,Resignation,Work Conditions,2452
EMP10301,2025-01-30,Resignation,Manager Relationship,376
EMP10302,2023-08-03,Resignation,Work Conditions,931
EMP10305,2024-10-28,Absconding,No Intimation,23
EMP10307,2023-08-09,Resignation,Salary,1383
EMP10308,2026-07-08,Resignation,Better Offer,186
EMP10310,2023-05-22,Resignation,Work Conditions,1096
EMP10312,2023-05-22,Resignation,Relocation,30
EMP10313,2024-08-17,Resignation,Work Conditions,625
EMP10314,2025-01-20,Resignation,Salary,723
EMP10316,2026-06-06,Resignation,Better Offer,1022
EMP10317,2024-07-19,Resignation,Salary,419
EMP10319,2025-09-15,Resignation,Relocation,282
EMP10320,2025-10-12,Absconding,Site Conditions,43
EMP10321,2024-05-19,Resignation,Better Offer,1624
EMP10322,2026-06-21,Resignation,Personal / Family,2261
EMP10323,2025-01-02,Resignation,Career Growth,166
EMP10324,2026-08-29,Resignation,Work Conditions,770
EMP10325,2025-08-11,Resignation,Salary,30
EMP10326,2025-06-05,Resignation,Manager Relationship,1551
EMP10328,2023-08-07,Resignation,Manager Relationship,159
EMP10331,2025-09-01,Absconding,Site Conditions,2
EMP10334,2023-06-02,Resignation,Relocation,1164
EMP10335,2023-10-02,Absconding,No Intimation,2
EMP10337,2026-01-21,End of Contract,Project Demobilisation,1838
EMP10339,2024-08-15,Resignation,Career Growth,1752
EMP10340,2025-11-19,Resignation,Better Offer,25
EMP10342,2023-09-20,Resignation,Relocation,1530
EMP10343,2025-10-31,Resignation,Manager Relationship,216
EMP10344,2023-12-31,Resignation,Better Offer,8
EMP10345,2025-12-20,Resignation,Relocation,791
EMP10346,2026-03-02,Absconding,Wage Dispute,9
EMP10347,2024-03-03,Resignation,Work Conditions,378
EMP10349,2024-02-25,Resignation,Relocation,1259
EMP10350,2024-05-19,Resignation,Salary,656
EMP10352,2024-08-23,Resignation,Salary,6
EMP10353,2023-05-10,Resignation,Better Offer,1430
EMP10355,2025-08-02,Resignation,Manager Relationship,2009
EMP10357,2026-05-25,Resignation,Work Conditions,555
EMP10361,2023-10-02,Resignation,Manager Relationship,1493
EMP10362,2025-06-14,Resignation,Career Growth,0
EMP10363,2024-10-20,Resignation,Career Growth,204
EMP10364,2023-07-04,Resignation,Salary,10
EMP10366,2024-08-31,Absconding,Site Conditions,7
EMP10368,2024-09-27,Resignation,Better Offer,597
EMP10370,2023-08-14,Resignation,Relocation,1324
EMP10371,2024-04-07,Resignation,Manager Relationship,1443
EMP10373,2026-06-10,Resignation,Manager Relationship,417
EMP10376,2023-09-09,Resignation,Personal / Family,7
EMP10379,2023-08-26,Resignation,Salary,1434
EMP10381,2025-12-15,Resignation,Better Offer,23
EMP10382,2026-08-28,Resignation,Manager Relationship,1348
EMP10383,2023-05-26,Resignation,Relocation,1039
EMP10389,2026-07-11,End of Contract,Project Demobilisation,21
EMP10391,2026-07-05,Resignation,Personal / Family,29
EMP10392,2024-09-28,Termination,Performance,112
EMP10394,2024-07-06,Absconding,No Intimation,0
EMP10395,2026-09-04,Resignation,Manager Relationship,62
EMP10398,2024-04-02,Resignation,Salary,24
EMP10399,2023-07-02,Resignation,Personal / Family,550
EMP10400,2025-10-15,Resignation,Career Growth,214
EMP10401,2024-12-14,Resignation,Better Offer,189
EMP10402,2024-03-16,Resignation,Career Growth,693
EMP10403,2025-08-01,Resignation,Personal / Family,1211
EMP10407,2024-09-05,Absconding,Wage Dispute,12
EMP10408,2023-06-13,Resignation,Work Conditions,1513
EMP10409,2025-06-07,Resignation,Relocation,231
EMP10410,2023-05-22,Resignation,Relocation,783
EMP10412,2026-04-05,Resignation,Salary,2460
EMP10413,2024-10-03,Resignation,Manager Relationship,1722
EMP10415,2026-04-12,Resignation,Better Offer,918
EMP10417,2025-05-17,Resignation,Career Growth,427
EMP10419,2025-08-11,Absconding,Site Conditions,30
EMP10420,2023-09-29,Resignation,Career Growth,1006
EMP10421,2025-03-09,Absconding,No Intimation,15
EMP10422,2024-02-23,Absconding,No Intimation,6
EMP10423,2024-01-26,Resignation,Personal / Family,1628
EMP10424,2026-01-08,Absconding,Site Conditions,19
EMP10428,2023-06-05,Resignation,Relocation,1045
EMP10429,2023-09-29,Resignation,Work Conditions,693
EMP10430,2023-09-25,Resignation,Personal / Family,1409
EMP10431,2025-07-27,Resignation,Career Growth,8
EMP10432,2023-10-06,Resignation,Career Growth,1040
EMP10433,2023-10-02,Resignation,Manager Relationship,614
EMP10436,2023-08-27,Resignation,Manager Relationship,441
EMP10437,2026-03-11,Resignation,Relocation,802
EMP10438,2023-11-26,Resignation,Relocation,15
EMP10441,2024-11-23,Resignation,Salary,539
EMP10442,2024-06-25,Resignation,Personal / Family,687
EMP10444,2023-04-30,Resignation,Manager Relationship,29
EMP10445,2024-09-13,End of Contract,Project Demobilisation,13
EMP10446,2026-09-07,Resignation,Relocation,1227
EMP10448,2026-07-23,End of Contract,Contract Not Renewed,453
EMP10452,2025-07-07,Resignation,Better Offer,23
EMP10454,2024-06-30,Resignation,Career Growth,8
EMP10455,2023-07-31,Resignation,Personal / Family,65
EMP10457,2026-07-19,Resignation,Salary,2355
EMP10458,2024-12-07,Resignation,Salary,602
EMP10459,2023-05-29,Resignation,Salary,240
EMP10461,2026-03-22,Resignation,Personal / Family,15
EMP10462,2025-01-12,Resignation,Relocation,414
EMP10463,2023-12-02,Termination,Attendance,1653
EMP10464,2026-05-17,Resignation,Relocation,148
EMP10467,2023-08-25,Resignation,Personal / Family,13
EMP10469,2024-09-25,Resignation,Work Conditions,1198
EMP10470,2026-05-11,Resignation,Personal / Family,338
EMP10471,2023-05-18,Absconding,Wage Dispute,47
EMP10472,2025-04-05,Resignation,Better Offer,364
EMP10474,2025-07-21,Resignation,Personal / Family,1927
EMP10475,2025-03-20,Termination,Performance,33
EMP10476,2025-08-04,Resignation,Salary,9
EMP10477,2024-10-03,Resignation,Relocation,1898
EMP10478,2024-04-24,Resignation,Better Offer,1392
EMP10480,2026-01-20,Resignation,Career Growth,374
EMP10482,2024-03-17,Resignation,Manager Relationship,8
EMP10483,2026-06-23,Resignation,Relocation,1462
EMP10484,2023-09-08,Resignation,Relocation,1631
EMP10485,2023-05-14,Resignation,Relocation,531
EMP10486,2023-10-15,Resignation,Manager Relationship,1665
EMP10487,2024-07-31,Resignation,Personal / Family,886
EMP10490,2025-02-25,End of Contract,Project Demobilisation,367
EMP10496,2024-11-08,Absconding,No Intimation,41
EMP10497,2025-10-25,Absconding,Site Conditions,0
EMP10499,2026-05-19,Resignation,Career Growth,10
EMP10500,2023-09-27,Resignation,Salary,886
EMP10501,2024-01-13,Resignation,Manager Relationship,1718
EMP10502,2025-07-21,Resignation,Better Offer,950
EMP10503,2023-10-12,Resignation,Manager Relationship,1120
EMP10504,2025-06-14,Resignation,Salary,21
EMP10506,2025-10-15,Resignation,Work Conditions,851
EMP10509,2025-09-10,Resignation,Personal / Family,634
EMP10510,2024-06-30,Resignation,Personal / Family,1484
EMP10511,2025-01-30,Resignation,Salary,26
EMP10512,2024-06-20,Resignation,Manager Relationship,1141
EMP10513,2024-05-22,Resignation,Better Offer,382
EMP10516,2023-06-14,Absconding,Wage Dispute,11
EMP10519,2026-05-16,Absconding,Wage Dispute,7
EMP10520,2024-04-20,Resignation,Personal / Family,1147
EMP10522,2024-05-10,Resignation,Salary,923
EMP10523,2026-03-09,Resignation,Relocation,688
EMP10527,2024-12-31,Resignation,Manager Relationship,790
EMP10528,2026-07-08,Resignation,Manager Relationship,431
EMP10530,2024-12-01,Resignation,Salary,540
EMP10532,2024-11-10,End of Contract,Project Demobilisation,134
EMP10533,2025-07-08,Resignation,Better Offer,297
EMP10534,2025-09-25,Resignation,Better Offer,313
EMP10535,2025-08-31,Resignation,Career Growth,491
EMP10536,2024-01-21,Resignation,Salary,295
EMP10537,2025-02-02,Resignation,Work Conditions,744
EMP10538,2023-04-17,Resignation,Manager Relationship,1059
EMP10540,2026-06-08,Absconding,No Intimation,16
EMP10543,2023-04-15,Termination,Attendance,1280
EMP10544,2025-01-01,Resignation,Salary,494
EMP10547,2024-01-27,Resignation,Relocation,84
EMP10548,2024-12-25,Resignation,Career Growth,1116
EMP10550,2024-05-12,Resignation,Personal / Family,407
EMP10551,2024-03-28,Resignation,Manager Relationship,1500
EMP10552,2024-01-31,Resignation,Work Conditions,277
EMP10553,2026-01-22,Resignation,Personal / Family,103
EMP10555,2023-06-05,Resignation,Manager Relationship,1466
EMP10556,2026-08-17,Resignation,Work Conditions,373
EMP10557,2026-06-20,Resignation,Personal / Family,2476
EMP10558,2024-06-13,Resignation,Career Growth,26
EMP10561,2026-08-31,Resignation,Work Conditions,2120
EMP10563,2023-09-06,Resignation,Better Offer,1178
EMP10564,2023-04-25,Resignation,Manager Relationship,1099
EMP10565,2026-01-07,Resignation,Personal / Family,963
EMP10567,2026-04-18,Resignation,Relocation,189
EMP10568,2023-05-15,Resignation,Relocation,1074
EMP10569,2024-03-30,Resignation,Career Growth,224
EMP10573,2024-05-27,Resignation,Work Conditions,1595
EMP10574,2025-03-14,Resignation,Career Growth,657
EMP10575,2025-11-05,Resignation,Manager Relationship,452
EMP10577,2026-05-31,Resignation,Personal / Family,365
EMP10579,2025-12-08,Absconding,Wage Dispute,30
EMP10582,2023-08-06,Resignation,Relocation,1614
EMP10583,2026-01-11,Resignation,Manager Relationship,1911
EMP10584,2023-05-06,Resignation,Relocation,823
EMP10587,2024-09-08,Resignation,Work Conditions,36
EMP10588,2025-09-30,Absconding,Wage Dispute,38
EMP10589,2023-07-09,Resignation,Career Growth,22
EMP10590,2024-08-28,Resignation,Personal / Family,11
EMP10591,2024-06-28,Resignation,Personal / Family,516
EMP10592,2023-10-21,Resignation,Salary,1566
EMP10594,2024-12-23,Resignation,Relocation,135
EMP10596,2024-04-28,End of Contract,Contract Not Renewed,309
EMP10597,2025-08-19,Resignation,Manager Relationship,10
EMP10599,2024-10-31,Resignation,Work Conditions,1344
EMP10600,2026-06-03,Resignation,Relocation,641
EMP10601,2024-10-23,Resignation,Better Offer,305
EMP10602,2025-10-30,Resignation,Manager Relationship,33
EMP10603,2026-01-10,Resignation,Personal / Family,623
EMP10606,2024-12-16,Resignation,Better Offer,9
EMP10608,2026-03-04,Resignation,Work Conditions,1114
EMP10609,2023-04-21,Resignation,Manager Relationship,1152
EMP10610,2024-07-27,Resignation,Salary,528
EMP10612,2024-04-23,Resignation,Salary,129
EMP10618,2023-05-08,Resignation,Career Growth,1301
EMP10619,2026-07-10,Resignation,Career Growth,909
EMP10621,2025-12-14,Resignation,Manager Relationship,22
EMP10622,2024-01-28,Resignation,Relocation,1200
EMP10625,2025-08-05,Resignation,Better Offer,1191
EMP10626,2023-10-16,Resignation,Work Conditions,1548
EMP10627,2025-10-19,Resignation,Salary,197
EMP10628,2025-01-02,Resignation,Salary,40
EMP10629,2023-10-16,Resignation,Career Growth,493
EMP10630,2026-02-05,Resignation,Personal / Family,2313
EMP10631,2023-08-12,Resignation,Salary,298
EMP10633,2024-07-16,Resignation,Relocation,94
EMP10634,2024-01-20,Resignation,Work Conditions,1793
EMP10636,2023-09-10,Resignation,Personal / Family,917
EMP10637,2025-02-18,Resignation,Relocation,1382
EMP10638,2025-07-28,Resignation,Career Growth,205
EMP10641,2026-05-10,Resignation,Work Conditions,2068
EMP10644,2024-05-16,Resignation,Manager Relationship,75
EMP10645,2026-06-29,Absconding,Site Conditions,16
EMP10648,2023-09-19,Resignation,Personal / Family,1368
EMP10649,2026-01-02,Resignation,Salary,671
EMP10650,2023-09-15,Resignation,Work Conditions,324
EMP10651,2026-06-30,Resignation,Manager Relationship,10
EMP10652,2023-05-09,Resignation,Relocation,1430
EMP10654,2024-05-25,Resignation,Better Offer,287
EMP10655,2024-10-13,Resignation,Personal / Family,113
EMP10656,2024-12-24,Resignation,Personal / Family,730
EMP10657,2024-07-07,Resignation,Work Conditions,127
EMP10658,2023-07-26,Resignation,Better Offer,208
EMP10659,2024-05-04,Absconding,Site Conditions,42
EMP10660,2024-06-22,Absconding,Wage Dispute,0
EMP10661,2025-12-04,Resignation,Salary,82
EMP10664,2026-09-17,Resignation,Manager Relationship,229
EMP10665,2025-10-23,Resignation,Salary,89
EMP10666,2023-08-15,Resignation,Relocation,1188
EMP10667,2024-12-10,End of Contract,Contract Not Renewed,10
EMP10669,2024-11-15,Resignation,Manager Relationship,1488
EMP10670,2023-05-08,Absconding,No Intimation,23
EMP10672,2025-09-07,Resignation,Relocation,2024
EMP10675,2024-10-13,End of Contract,Project Demobilisation,22
EMP10676,2023-12-15,Resignation,Personal / Family,352
EMP10677,2026-06-26,Resignation,Manager Relationship,1734
EMP10678,2023-09-19,Resignation,Salary,1389
EMP10679,2024-11-19,Resignation,Work Conditions,108
EMP10680,2023-12-17,Resignation,Personal / Family,29
EMP10682,2023-11-26,Resignation,Salary,8
EMP10683,2025-02-14,Resignation,Personal / Family,335
EMP10684,2024-09-07,Resignation,Salary,406
EMP10687,2024-07-08,Resignation,Better Offer,415
EMP10688,2024-08-22,Resignation,Career Growth,1029
EMP10689,2024-10-15,Resignation,Salary,1551
EMP10694,2025-12-25,Resignation,Salary,1981
EMP10695,2023-07-24,Resignation,Salary,1019
EMP10697,2023-12-22,Resignation,Personal / Family,48
EMP10698,2024-12-14,Resignation,Better Offer,1871
EMP10700,2025-10-31,Resignation,Manager Relationship,272
EMP10701,2025-04-27,Resignation,Manager Relationship,1440
EMP10703,2023-12-06,Resignation,Career Growth,1176
EMP10704,2024-06-05,Resignation,Work Conditions,1700
EMP10705,2024-07-14,Resignation,Career Growth,1790
EMP10706,2025-01-18,End of Contract,Project Demobilisation,7
EMP10707,2023-06-13,Resignation,Relocation,1330
EMP10710,2025-12-05,Resignation,Manager Relationship,426
EMP10713,2025-04-12,Resignation,Relocation,42
EMP10715,2025-01-03,End of Contract,Project Demobilisation,160
EMP10716,2024-07-21,Resignation,Career Growth,1842
EMP10718,2024-11-21,Resignation,Personal / Family,334
EMP10719,2025-03-14,Resignation,Salary,41
EMP10720,2023-04-24,Resignation,Work Conditions,1147
EMP10722,2026-03-27,Resignation,Better Offer,1513
EMP10724,2024-03-31,Resignation,Better Offer,57
EMP10725,2026-02-02,Resignation,Salary,618
EMP10726,2023-12-17,Resignation,Salary,22
EMP10727,2023-11-25,Resignation,Better Offer,49
EMP10730,2025-11-12,Resignation,Manager Relationship,2163
EMP10731,2024-02-26,End of Contract,Contract Not Renewed,1763
EMP10734,2026-08-25,Resignation,Career Growth,2700
EMP10735,2023-10-13,Resignation,Relocation,1688
EMP10736,2026-02-22,End of Contract,Project Demobilisation,22
EMP10739,2025-08-27,Resignation,Salary,305
EMP10740,2024-04-25,Resignation,Career Growth,1657
EMP10744,2026-08-03,Resignation,Relocation,44
EMP10745,2023-06-29,Resignation,Relocation,1359
EMP10747,2024-06-12,Resignation,Personal / Family,214
EMP10748,2026-04-17,Resignation,Work Conditions,440
EMP10754,2023-09-16,Resignation,Better Offer,1242
EMP10755,2025-01-05,Resignation,Relocation,85
EMP10756,2023-08-15,Resignation,Relocation,472
EMP10757,2026-03-04,Resignation,Work Conditions,2471
EMP10759,2024-05-23,Resignation,Better Offer,1378
EMP10762,2024-04-09,Resignation,Career Growth,24
EMP10764,2025-08-21,Resignation,Career Growth,2237
EMP10766,2024-11-03,Resignation,Personal / Family,731
EMP10769,2024-11-17,Resignation,Manager Relationship,505
EMP10770,2026-05-17,Resignation,Career Growth,918
EMP10771,2025-10-18,Resignation,Better Offer,588
EMP10772,2024-05-26,Absconding,No Intimation,15
EMP10774,2026-07-08,Resignation,Salary,2263
EMP10777,2023-06-09,Resignation,Salary,1493
EMP10779,2024-01-14,Absconding,Wage Dispute,15
EMP10781,2023-11-28,Resignation,Salary,1045
EMP10782,2026-08-16,Absconding,Wage Dispute,8
EMP10783,2024-07-05,Absconding,Wage Dispute,20
EMP10784,2025-11-19,Resignation,Work Conditions,753
EMP10785,2025-07-03,Absconding,Site Conditions,26
EMP10788,2024-11-11,Resignation,Salary,1707
EMP10789,2025-09-15,Resignation,Personal / Family,338
EMP10790,2023-10-13,Resignation,Career Growth,1359
EMP10791,2024-03-09,Absconding,No Intimation,7
EMP10793,2025-03-04,Resignation,Career Growth,360
EMP10795,2026-08-05,Resignation,Salary,25
EMP10796,2024-03-07,Resignation,Better Offer,587
EMP10797,2024-02-19,Absconding,Wage Dispute,9
EMP10800,2026-07-24,Absconding,No Intimation,27
EMP10802,2026-02-17,Resignation,Personal / Family,710
EMP10804,2023-10-02,Resignation,Personal / Family,1399
EMP10806,2024-09-07,Resignation,Manager Relationship,14
EMP10808,2023-06-25,Resignation,Better Offer,658
EMP10809,2023-06-30,Resignation,Work Conditions,1374
EMP10810,2025-12-02,Resignation,Work Conditions,1719
EMP10812,2026-08-25,Resignation,Salary,31
EMP10813,2024-12-07,Absconding,Site Conditions,14
EMP10814,2023-08-07,Resignation,Manager Relationship,795
EMP10815,2023-04-23,Resignation,Career Growth,612
EMP10817,2023-08-26,Resignation,Personal / Family,589
EMP10819,2025-04-27,Resignation,Better Offer,22
EMP10821,2023-07-15,Resignation,Relocation,1529
EMP10823,2023-05-02,Absconding,Wage Dispute,17
EMP10824,2023-10-06,Absconding,Site Conditions,6
EMP10825,2023-12-17,Resignation,Better Offer,1233
EMP10826,2024-03-30,Absconding,No Intimation,0
EMP10827,2024-09-08,Resignation,Better Offer,22
EMP10831,2025-08-11,Resignation,Better Offer,16
EMP10833,2024-09-08,Resignation,Work Conditions,337
EMP10837,2024-11-13,Resignation,Personal / Family,263
EMP10838,2024-08-07,Resignation,Personal / Family,1195
